mine_id,date,planned_target,actual_output,downtime_hours,rainfall_mm,blast_delay_count,previous_period_output
MOIL_BALAGHAT_01,2023-01-31,35000.0,28584.4,38.5,-0.4,3,28584.4
MOIL_BALAGHAT_01,2023-02-28,35000.0,29391.2,23.5,1.0,3,28584.4
MOIL_BALAGHAT_01,2023-03-31,35000.0,28616.8,33.9,39.1,4,29391.2
MOIL_BALAGHAT_01,2023-04-30,35000.0,27204.7,42.8,74.5,2,28616.8
MOIL_BALAGHAT_01,2023-05-31,35000.0,30683.3,19.6,27.4,4,27204.7
MOIL_BALAGHAT_01,2023-06-30,35000.0,26648.7,46.5,239.0,4,30683.3
MOIL_BALAGHAT_01,2023-07-31,35000.0,21185.5,75.2,376.5,5,26648.7
MOIL_BALAGHAT_01,2023-08-31,35000.0,23293.5,64.9,242.5,5,21185.5
MOIL_BALAGHAT_01,2023-09-30,35000.0,25015.6,58.3,312.6,4,23293.5
MOIL_BALAGHAT_01,2023-10-31,35000.0,33881.3,11.0,4.3,1,25015.6
MOIL_BALAGHAT_01,2023-11-30,35000.0,30446.8,24.1,33.1,1,33881.3
MOIL_BALAGHAT_01,2023-12-31,35000.0,28455.4,32.9,16.3,4,30446.8
MOIL_BALAGHAT_01,2024-01-31,35000.0,27259.5,36.7,-3.8,4,28455.4
MOIL_BALAGHAT_01,2024-02-29,35000.0,30828.4,23.1,2.6,2,27259.5
MOIL_BALAGHAT_01,2024-03-31,35000.0,27514.5,43.9,32.2,2,30828.4
MOIL_BALAGHAT_01,2024-04-30,35000.0,27218.7,49.5,77.9,3,27514.5
MOIL_BALAGHAT_01,2024-05-31,35000.0,32537.3,19.9,26.5,1,27218.7
MOIL_BALAGHAT_01,2024-06-30,35000.0,23632.5,69.5,247.3,4,32537.3
MOIL_BALAGHAT_01,2024-07-31,35000.0,21272.0,75.2,378.7,5,23632.5
MOIL_BALAGHAT_01,2024-08-31,35000.0,27433.8,51.6,244.6,2,21272.0
MOIL_BALAGHAT_01,2024-09-30,35000.0,22563.2,63.1,314.4,5,27433.8
MOIL_BALAGHAT_01,2024-10-31,35000.0,29602.5,31.6,1.8,3,22563.2
MOIL_BALAGHAT_01,2024-11-30,35000.0,31739.9,24.6,25.7,1,29602.5
MOIL_BALAGHAT_01,2024-12-31,35000.0,29707.1,26.8,22.4,1,31739.9
