grid_cell_id,lat,lon,ndvi,soil_moisture,lst,rainfall,grade,depth,reserve_class
CELL_001,21.78,80.15,0.443,0.73,24.99,1548.3,26.06,90.8,Low
CELL_002,21.78,80.1578,0.492,0.722,24.23,1541.8,47.22,38.0,High
CELL_003,21.78,80.1656,0.261,0.656,26.09,1520.8,35.64,148.7,Medium
CELL_004,21.78,80.1733,0.241,0.664,25.13,1542.3,31.53,143.9,Low
CELL_005,21.78,80.1811,0.406,0.714,25.18,1521.7,23.21,261.0,Low
CELL_006,21.78,80.1889,0.598,0.652,25.55,1515.0,43.02,406.6,Medium
CELL_007,21.78,80.1967,0.374,0.645,24.82,1545.9,34.87,77.6,Medium
CELL_008,21.78,80.2044,0.472,0.726,24.17,1524.6,35.52,151.6,Medium
CELL_009,21.78,80.2122,0.521,0.653,25.4,1560.2,45.27,396.4,Medium
CELL_010,21.78,80.22,0.266,0.727,25.52,1516.1,30.46,47.6,Low
CELL_011,21.7856,80.15,0.337,0.662,25.02,1553.1,36.11,139.6,Medium
CELL_012,21.7856,80.1578,0.614,0.715,24.43,1515.4,27.17,331.2,Low
CELL_013,21.7856,80.1656,0.501,0.717,24.1,1547.0,23.93,330.8,Low
CELL_014,21.7856,80.1733,0.454,0.647,24.95,1554.9,23.65,159.1,Low
CELL_015,21.7856,80.1811,0.461,0.668,24.84,1548.2,34.28,376.0,Medium
CELL_016,21.7856,80.1889,0.427,0.706,24.38,1549.7,34.84,330.7,Medium
CELL_017,21.7856,80.1967,0.227,0.678,25.34,1513.0,38.55,42.3,Medium
CELL_018,21.7856,80.2044,0.29,0.686,24.84,1557.1,41.64,190.0,High
CELL_019,21.7856,80.2122,0.251,0.643,24.64,1526.2,43.01,392.6,Medium
CELL_020,21.7856,80.22,0.262,0.722,25.61,1551.9,36.02,378.1,Medium
CELL_021,21.7911,80.15,0.228,0.725,26.03,1527.6,33.1,118.9,Medium
CELL_022,21.7911,80.1578,0.405,0.721,26.05,1512.0,27.77,192.8,Low
CELL_023,21.7911,80.1656,0.322,0.669,24.38,1558.8,40.28,232.3,High
CELL_024,21.7911,80.1733,0.291,0.732,24.96,1559.8,29.82,223.9,Low
CELL_025,21.7911,80.1811,0.401,0.639,24.77,1542.2,29.24,50.1,Low
CELL_026,21.7911,80.1889,0.395,0.659,26.27,1518.9,28.29,414.4,Low
CELL_027,21.7911,80.1967,0.5,0.711,25.7,1523.6,38.44,173.4,Medium
CELL_028,21.7911,80.2044,0.548,0.689,25.61,1516.2,26.85,155.1,Low
CELL_029,21.7911,80.2122,0.187,0.694,24.19,1545.6,27.89,229.7,Low
CELL_030,21.7911,80.22,0.35,0.652,25.64,1546.2,25.58,395.3,Low
CELL_031,21.7967,80.15,0.566,0.646,24.91,1557.9,39.16,130.6,Medium
CELL_032,21.7967,80.1578,0.286,0.691,26.05,1538.2,45.33,66.3,High
CELL_033,21.7967,80.1656,0.334,0.698,26.25,1528.7,45.32,313.1,Medium
CELL_034,21.7967,80.1733,0.217,0.713,26.22,1543.8,45.36,93.0,High
CELL_035,21.7967,80.1811,0.472,0.636,25.55,1516.8,26.18,32.0,Low
CELL_036,21.7967,80.1889,0.279,0.704,25.41,1544.3,28.17,307.7,Low
CELL_037,21.7967,80.1967,0.554,0.71,24.87,1544.2,36.78,286.5,Medium
CELL_038,21.7967,80.2044,0.287,0.672,24.31,1525.0,32.22,409.5,Medium
CELL_039,21.7967,80.2122,0.401,0.698,26.23,1551.4,34.81,255.0,Medium
CELL_040,21.7967,80.22,0.191,0.707,24.56,1525.7,26.6,281.7,Low
CELL_041,21.8022,80.15,0.343,0.73,26.35,1557.4,46.14,36.0,High
CELL_042,21.8022,80.1578,0.555,0.732,25.12,1559.9,32.01,144.8,Medium
CELL_043,21.8022,80.1656,0.425,0.667,26.13,1520.2,40.1,395.1,Medium
CELL_044,21.8022,80.1733,0.616,0.645,25.46,1542.5,35.48,84.6,Medium
CELL_045,21.8022,80.1811,0.489,0.709,26.2,1546.6,29.63,170.2,Low
CELL_046,21.8022,80.1889,0.582,0.716,26.03,1555.1,35.04,229.4,Medium
CELL_047,21.8022,80.1967,0.53,0.7,26.01,1546.8,30.79,377.1,Low
CELL_048,21.8022,80.2044,0.196,0.644,24.99,1540.6,36.11,211.6,Medium
CELL_049,21.8022,80.2122,0.196,0.694,24.78,1513.2,31.36,350.8,Low
CELL_050,21.8022,80.22,0.275,0.687,24.39,1550.2,24.22,272.9,Low
CELL_051,21.8078,80.15,0.46,0.688,24.21,1538.7,47.37,313.2,Medium
CELL_052,21.8078,80.1578,0.299,0.667,25.33,1551.5,24.04,201.2,Low
CELL_053,21.8078,80.1656,0.486,0.731,24.15,1553.5,26.51,189.5,Low
CELL_054,21.8078,80.1733,0.494,0.66,24.47,1539.2,29.28,287.5,Low
CELL_055,21.8078,80.1811,0.449,0.709,26.38,1539.4,28.44,193.6,Low
CELL_056,21.8078,80.1889,0.231,0.711,24.94,1512.4,23.06,47.9,Low
CELL_057,21.8078,80.1967,0.223,0.705,26.14,1535.4,34.31,221.7,Medium
CELL_058,21.8078,80.2044,0.451,0.678,24.51,1531.6,23.18,277.7,Low
CELL_059,21.8078,80.2122,0.557,0.698,24.99,1536.9,26.24,286.9,Low
CELL_060,21.8078,80.22,0.438,0.699,24.26,1513.0,36.96,396.7,Medium
CELL_061,21.8133,80.15,0.42,0.699,25.02,1534.6,32.04,397.2,Medium
CELL_062,21.8133,80.1578,0.211,0.726,26.4,1521.5,22.47,69.3,Low
CELL_063,21.8133,80.1656,0.32,0.703,24.32,1515.3,22.61,359.5,Low
CELL_064,21.8133,80.1733,0.487,0.663,26.04,1517.6,44.81,275.3,Medium
CELL_065,21.8133,80.1811,0.258,0.715,25.85,1525.8,42.98,322.7,Medium
CELL_066,21.8133,80.1889,0.522,0.676,26.47,1530.3,46.2,162.9,High
CELL_067,21.8133,80.1967,0.512,0.678,26.15,1549.2,45.47,70.2,High
CELL_068,21.8133,80.2044,0.574,0.718,25.3,1527.7,22.28,181.8,Low
CELL_069,21.8133,80.2122,0.598,0.644,26.26,1527.7,36.91,400.7,Medium
CELL_070,21.8133,80.22,0.325,0.68,25.61,1526.4,41.56,292.3,Medium
CELL_071,21.8189,80.15,0.398,0.714,25.99,1516.3,36.29,52.4,Medium
CELL_072,21.8189,80.1578,0.232,0.724,25.15,1529.2,41.8,85.8,High
CELL_073,21.8189,80.1656,0.488,0.645,25.57,1515.9,43.37,58.4,High
CELL_074,21.8189,80.1733,0.614,0.643,25.78,1515.9,31.64,176.0,Low
CELL_075,21.8189,80.1811,0.511,0.73,26.04,1561.0,24.17,176.7,Low
CELL_076,21.8189,80.1889,0.579,0.691,25.96,1532.9,34.81,73.4,Medium
CELL_077,21.8189,80.1967,0.232,0.682,24.12,1514.5,38.88,75.8,Medium
CELL_078,21.8189,80.2044,0.345,0.693,25.88,1559.8,44.58,141.4,High
CELL_079,21.8189,80.2122,0.607,0.731,24.63,1512.3,45.17,46.8,High
CELL_080,21.8189,80.22,0.424,0.734,25.36,1515.4,35.6,408.0,Medium
CELL_081,21.8244,80.15,0.456,0.705,25.6,1534.4,45.43,257.9,Medium
CELL_082,21.8244,80.1578,0.572,0.663,24.2,1559.2,38.12,207.7,Medium
CELL_083,21.8244,80.1656,0.335,0.654,24.76,1534.9,24.02,257.6,Low
CELL_084,21.8244,80.1733,0.416,0.734,26.43,1546.6,43.16,150.7,High
CELL_085,21.8244,80.1811,0.542,0.651,25.73,1557.2,40.87,400.4,Medium
CELL_086,21.8244,80.1889,0.561,0.677,25.56,1558.3,22.69,47.6,Low
CELL_087,21.8244,80.1967,0.246,0.716,24.99,1561.1,31.9,261.7,Low
